Metabolite	CHEBI:128769	CHEBI:15377	CHEBI:65078	CHEBI:15378	CHEBI:43474					
Coefficient	-1	-1	1	1	1					
RXN_ID	NUDF2	None	None	None	None					
Metabolite	CHEBI:65078	CHEBI:15377	CHEBI:62898	CHEBI:15378	CHEBI:43474					
Coefficient	-1	-1	1	1	1					
RXN_ID	22409	None	None	None						
Metabolite	CHEBI:57623	CHEBI:128769	CHEBI:58057	CHEBI:33019						
Coefficient	-1	-1	1	1						
RXN_ID	32680	None	None	None						
Metabolite	CHEBI:58057	CHEBI:15377	CHEBI:33019	CHEBI:17447						
Coefficient	-1	-1	1	1						
RXN_ID	19362	None	None	None						
Metabolite	CHEBI:58057	CHEBI:128769	CHEBI:175763	CHEBI:33019						
Coefficient	-1	-1	1	1						
RXN_ID	27527	None	None	None						
Metabolite	CHEBI:175763	CHEBI:15377	CHEBI:16619	CHEBI:33019						
Coefficient	-1	-1	1	1						
RXN_ID	17654	None	None	None						
Metabolite	CHEBI:175763	CHEBI:128769	CHEBI:58756	CHEBI:33019						
Coefficient	-1	-1	1	1						
RXN_ID	26237	None	None	None						
Metabolite	CHEBI:58756	CHEBI:15377	CHEBI:46762	CHEBI:33019						
Coefficient	-1	-1	1	1						
RXN_ID	25489	None	None							
Metabolite	CHEBI:58057	CHEBI:28660	CHEBI:33019							
Coefficient	-1	1	1							
RXN_ID	32548	None	None							
Metabolite	CHEBI:58057	CHEBI:50029	CHEBI:33019							
Coefficient	-1	1	1							
RXN_ID	16966	None	None							
Metabolite	CHEBI:58057	CHEBI:17221	CHEBI:33019							
Coefficient	-1	1	1							
RXN_ID	12870	None	None							
Metabolite	CHEBI:58057	CHEBI:15383	CHEBI:33019							
Coefficient	-1	1	1							
RXN_ID	27426	None	None							
Metabolite	CHEBI:175763	CHEBI:10418	CHEBI:33019							
Coefficient	-1	1	1							
RXN_ID	27422	None	None							
Metabolite	CHEBI:175763	CHEBI:10280	CHEBI:33019							
Coefficient	-1	1	1							
RXN_ID	31436	None	None							
Metabolite	CHEBI:175763	CHEBI:61677	CHEBI:33019							
Coefficient	-1	1	1							
RXN_ID	25437	None	None							
Metabolite	CHEBI:175763	CHEBI:49243	CHEBI:33019							
Coefficient	-1	1	1							
RXN_ID	34476	None	None							
Metabolite	CHEBI:58756	CHEBI:27787	CHEBI:33019							
Coefficient	-2	1	2							
RXN_ID	PHYDS	None	None	None						
Metabolite	CHEBI:27787	CHEBI:58349	CHEBI:15948	CHEBI:57783						
Coefficient	-1	-4	1	4						
RXN_ID	32219	None								
Metabolite	CHEBI:15948	CHEBI:27740								
Coefficient	-1	1								
RXN_ID	32239	None								
Metabolite	CHEBI:27740	CHEBI:17579								
Coefficient	-1	1								
RXN_ID	BCAROX1	None	None	None	None	None				
Metabolite	CHEBI:17579	CHEBI:57783	CHEBI:15379	CHEBI:10362	CHEBI:58349	CHEBI:15377				
Coefficient	-1	-2	-1	1	2	1				
RXN_ID	BCAROX2	None	None	None	None	None				
Metabolite	CHEBI:10362	CHEBI:57783	CHEBI:15379	CHEBI:27547	CHEBI:58349	CHEBI:15377				
Coefficient	-1	-2	-1	1	2	1				
RXN_ID	BCAROKT1	None	None	None	None	None				
Metabolite	CHEBI:17579	CHEBI:57783	CHEBI:15379	CHEBI:4746	CHEBI:58349	CHEBI:15377				
Coefficient	-1	-2	-2	1	2	3				
RXN_ID	BCAROKT2	None	None	None	None	None				
Metabolite	CHEBI:4746	CHEBI:57783	CHEBI:15379	CHEBI:3362	CHEBI:58349	CHEBI:15377				
Coefficient	-1	-2	-1	1	2	3				
RXN_ID	ZX4KT1	None	None	None	None	None				
Metabolite	CHEBI:27547	CHEBI:57783	CHEBI:15379	CHEBI:80217	CHEBI:58349	CHEBI:15377				
Coefficient	-1	-2	-2	1	2	3				
RXN_ID	ZX4KT2	None	None	None	None	None				
Metabolite	CHEBI:80217	CHEBI:57783	CHEBI:15379	CHEBI:40968	CHEBI:58349	CHEBI:15377				
Coefficient	-1	-2	-1	1	2	3				
RXN_ID	18326	None	None							
Metabolite	CHEBI:175763	CHEBI:52026	CHEBI:33019							
Coefficient	-1	1	1							
RXN_ID	33000	None	None	None	None	None	None			
Metabolite	CHEBI:52026	CHEBI:15379	CHEBI:57618	CHEBI:64782	CHEBI:15378	CHEBI:15377	CHEBI:58210			
Coefficient	-1	-3	-3	1	4	4	3			
RXN_ID	OHACT4	None	None	None						
Metabolite	CHEBI:57288	CHEBI:46645	CHEBI:50569	CHEBI:57287						
Coefficient	-1	-1	1	1						
RXN_ID	OHACT2	None	None	None						
Metabolite	CHEBI:57288	CHEBI:15837	CHEBI:31725	CHEBI:57287						
Coefficient	-1	-1	1	1						
RXN_ID	11309	None	None	None	None	None	None			
Metabolite	CHEBI:57288	CHEBI:30616	CHEBI:17544	CHEBI:456216	CHEBI:15378	CHEBI:57384	CHEBI:43474			
Coefficient	-1	-1	-1	1	1	1	1			
RXN_ID	10242	None	None	None	None					
Metabolite	CHEBI:78784	CHEBI:15378	CHEBI:57945	CHEBI:78785	CHEBI:57540					
Coefficient	-1	-1	-1	1	1					
RXN_ID	31523	None	None	None	None	None				
Metabolite	CHEBI:16810	CHEBI:15378	CHEBI:15379	CHEBI:16526	CHEBI:18153	CHEBI:15377				
Coefficient	-1	-2	-1	3	1	1				
RXN_ID	13398	None	None	None	None	None				
Metabolite	CHEBI:18322	CHEBI:15377	CHEBI:58349	CHEBI:15378	CHEBI:17128	CHEBI:57783				
Coefficient	-1	-1	-1	2	1	1				
RXN_ID	14226	None	None	None	None					
Metabolite	CHEBI:32383	CHEBI:57540	CHEBI:18322	CHEBI:15378	CHEBI:57945					
Coefficient	-1	-1	1	1	1					
RXN_ID	ALKBGT	None	None	None	None	None	None			
Metabolite	CHEBI:17120	CHEBI:57945	CHEBI:15378	CHEBI:15379	CHEBI:32383	CHEBI:15377	CHEBI:57540			
Coefficient	-1	-1	-1	-1	1	1	1			
RXN_ID	40116	None	None	None	None					
Metabolite	CHEBI:15377	CHEBI:62620	CHEBI:57287	CHEBI:15378	CHEBI:17120					
Coefficient	-1	-1	1	1	1					
RXN_ID	18181	None	None	None	None	None				
Metabolite	CHEBI:57288	CHEBI:36655	CHEBI:15377	CHEBI:15589	CHEBI:57287	CHEBI:15378				
Coefficient	-1	-1	-1	1	1	1				
RXN_ID	26193	None	None	None	None	None				
Metabolite	CHEBI:15589	CHEBI:30616	CHEBI:57287	CHEBI:57317	CHEBI:456216	CHEBI:43474				
Coefficient	-1	-1	-1	1	1	1				
RXN_ID	MalSAR	None	None	None	None	None				
Metabolite	CHEBI:57317	CHEBI:57945	CHEBI:15378	CHEBI:MalSA	CHEBI:57287	CHEBI:57540				
Coefficient	-1	-1	-1	1	1	1				
RXN_ID	DHBR	None	None	None	None					
Metabolite	CHEBI:MalSA	CHEBI:57945	CHEBI:15378	CHEBI:DHB	CHEBI:57540					
Coefficient	-1	-1	-1	1	1					
RXN_ID	DHBCoR	None	None	None	None	None				
Metabolite	CHEBI:DHB	CHEBI:30616	CHEBI:57287	CHEBI:DHBCoA	CHEBI:456215	CHEBI:33019				
Coefficient	-1	-1	-1	1	1	1				
RXN_ID	DHBAR	None	None	None	None					
Metabolite	CHEBI:DHBCoA	CHEBI:57945	CHEBI:15378	CHEBI:DHBA	CHEBI:57287	CHEBI:57540				
Coefficient	-1	-1	-1	1	1	1				
RXN_ID	BTER	None	None	None	None					
Metabolite	CHEBI:DHBA	CHEBI:57945	CHEBI:15378	CHEBI:88063	CHEBI:57540					
Coefficient	-1	-1	-1	1	1					
RXN_ID	LEVR	None	None	None	None	None				
Metabolite	CHEBI:57288	CHEBI:57292	CHEBI:15377	CHEBI:39150	CHEBI:57287	CHEBI:16526				
Coefficient	-1	-1	-1	1	2	1				
RXN_ID	HHAR	None	None	None	None	None	None	None	None	
Metabolite	CHEBI:57288	CHEBI:57292	CHEBI:57540	CHEBI:15377	CHEBI:57945	CHEBI:57287	CHEBI:16526	CHEBI:15378	CHEBI:32383	
Coefficient	-1	-1	-1	-2	1	2	1	1	1	
RXN_ID	ADPR	None	None	None	None	None	None			
Metabolite	CHEBI:57288	CHEBI:57292	CHEBI:57945	CHEBI:17128	CHEBI:57540	CHEBI:57287	CHEBI:15378			
Coefficient	-1	-1	-2	1	2	2	-1			
RXN_ID	HBAR	None	None	None	None	None	None	None		
Metabolite	CHEBI:57288	CHEBI:29805	CHEBI:57945	CHEBI:15378	CHEBI:HBA	CHEBI:57540	CHEBI:57287	CHEBI:15377		
Coefficient	-1	-1	-1	-2	1	1	1	1		
RXN_ID	SD3OPN	None	None	None						
Metabolite	CHEBI:20177	CHEBI:15378	CHEBI:28398	CHEBI:16526						
Coefficient	-1	-1	1	1						
RXN_ID	41788	None	None	None						
Metabolite	CHEBI:57288	CHEBI:64479	CHEBI:78446	CHEBI:57287						
Coefficient	-1	-1	1	1						
RXN_ID	PKS3OPN	None	None	None	None	None				
Metabolite	CHEBI:57392	CHEBI:57384	CHEBI:15377	CHEBI:20177	CHEBI:57287	CHEBI:16526				
Coefficient	-1	-1	-1	1	2	1				
RXN_ID	23720	None	None	None	None	None	None			
Metabolite	CHEBI:30616	CHEBI:17544	CHEBI:57392	CHEBI:57327	CHEBI:456216	CHEBI:15378	CHEBI:43474			
Coefficient	-1	-1	-1	1	1	1	1			
RXN_ID	PKS3MOPN	None	None	None	None	None	None			
Metabolite	CHEBI:57392	CHEBI:57327	CHEBI:15377	CHEBI:15378	CHEBI:87755	CHEBI:57287	CHEBI:16526			
Coefficient	-1	-1	-1	-1	1	2	2			
RXN_ID	26438	None	None	None	None					
Metabolite	CHEBI:16510	CHEBI:58349	CHEBI:33190	CHEBI:15378	CHEBI:57783					
Coefficient	-1	-1	1	1	1					
RXN_ID	26440	None	None	None	None	None				
Metabolite	CHEBI:33190	CHEBI:15378	CHEBI:57783	CHEBI:16510	CHEBI:58349	CHEBI:57783				
Coefficient	-1	-1	-1	1	1	1				
RXN_ID	35602	None	None	None	None					
Metabolite	CHEBI:58349	CHEBI:16109	CHEBI:17871	CHEBI:15378	CHEBI:57783					
Coefficient	-1	-1	1	1	1					
RXN_ID	19766	None	None							
Metabolite	CHEBI:17754	CHEBI:17871	CHEBI:15377							
Coefficient	-1	1	1							
RXN_ID	21824	None	None	None						
Metabolite	CHEBI:16810	CHEBI:29991	CHEBI:29985	CHEBI:16452						
Coefficient	-1	-1	1	1						
RXN_ID	19498	None	None	None						
Metabolite	CHEBI:15378	CHEBI:29991	CHEBI:57966	CHEBI:16526						
Coefficient	-1	-1	1	1						
RXN_ID	14077	None	None	None						
Metabolite	CHEBI:33190	CHEBI:57972	CHEBI:57966	CHEBI:15361						
Coefficient	-1	-1	1	1						
RXN_ID	20045	None	None	None	None	None				
Metabolite	CHEBI:33190	CHEBI:15377	CHEBI:57540	CHEBI:15378	CHEBI:15792	CHEBI:57945				
Coefficient	-1	-1	-1	2	1	1				
RXN_ID	26438	None	None	None	None					
Metabolite	CHEBI:16510	CHEBI:58349	CHEBI:33190	CHEBI:15378	CHEBI:57783					
Coefficient	-1	-1	1	1	1					
RXN_ID	24284	None	None	None	None	None				
Metabolite	CHEBI:537519	CHEBI:58349	CHEBI:43474	CHEBI:57535	CHEBI:15378	CHEBI:57783				
Coefficient	-1	-1	-1	1	1	1				
RXN_ID	23776	None	None	None						
Metabolite	CHEBI:30616	CHEBI:29991	CHEBI:57535	CHEBI:456216						
Coefficient	-1	-1	1	1						
RXN_ID	15761	None	None	None	None					
Metabolite	CHEBI:57476	CHEBI:58349	CHEBI:15378	CHEBI:537519	CHEBI:57783					
Coefficient	-1	-1	1	1	1					
RXN_ID	11160	None	None	None						
Metabolite	CHEBI:16810	CHEBI:58761	CHEBI:537519	CHEBI:29985						
Coefficient	-1	-1	1	1						
RXN_ID	15690	None	None	None						
Metabolite	CHEBI:15378	CHEBI:58761	CHEBI:16526	CHEBI:57484						
Coefficient	-1	-1	1	1						
RXN_ID	13986	None	None	None	None					
Metabolite	CHEBI:30616	CHEBI:57476	CHEBI:456216	CHEBI:15378	CHEBI:57590					
Coefficient	-1	-1	1	1	1					
RXN_ID	10841	None	None	None						
Metabolite	CHEBI:15377	CHEBI:57590	CHEBI:57926	CHEBI:43474						
Coefficient	-1	-1	1	1						
RXN_ID	22109	None	None							
Metabolite	CHEBI:57926	CHEBI:16763	CHEBI:28938							
Coefficient	-1	1	1							
RXN_ID	EGDH	None	None	None	None	None	None			
Metabolite	CHEBI:16763	CHEBI:15378	CHEBI:57783	CHEBI:28938	CHEBI:15377	CHEBI:LHMA	CHEBI:58349			
Coefficient	-1	-1	-1	-1	1	1	1			
RXN_ID	28054	None	None	None						
Metabolite	CHEBI:16763	CHEBI:57287	CHEBI:15740	CHEBI:57392						
Coefficient	-1	-1	1	1						
RXN_ID	27655	None	None	None	None					
Metabolite	CHEBI:16763	CHEBI:15378	CHEBI:15361	CHEBI:49256	CHEBI:16526					
Coefficient	-1	-1	-1	1	1					
RXN_ID	13493	None	None	None	None					
Metabolite	CHEBI:49258	CHEBI:58349	CHEBI:49256	CHEBI:15378	CHEBI:57783					
Coefficient	-1	-1	1	1	1					
RXN_ID	27695	None	None							
Metabolite	CHEBI:49258	CHEBI:35146	CHEBI:15377							
Coefficient	-1	1	1							
RXN_ID	24801	None	None	None						
Metabolite	CHEBI:16810	CHEBI:58045	CHEBI:35146	CHEBI:29985						
Coefficient	-1	-1	1	1						
RXN_ID	50706	None	None	None	None					
Metabolite	CHEBI:17153	CHEBI:15378	CHEBI:57945	CHEBI:28831	CHEBI:57540					
Coefficient	-1	-1	-1	1	1					
RXN_ID	55073	None	None	None						
Metabolite	CHEBI:16763	CHEBI:15378	CHEBI:17153	CHEBI:16526						
Coefficient	-1	-1	1	1						
RXN_ID	R00993	None	None	None	None	None	None			
Metabolite	CHEBI:16763	CHEBI:43474	CHEBI:15378	CHEBI:15379	CHEBI:58933	CHEBI:16240	CHEBI:16526			
Coefficient	-1	-1	-1	-1	1	1	1			
RXN_ID	23148	None	None	None						
Metabolite	CHEBI:30616	CHEBI:17272	CHEBI:456216	CHEBI:58933						
Coefficient	-1	-1	1	1						
RXN_ID	PROCOAS	None	None	None						
Metabolite	CHEBI:17272	CHEBI:57288	CHEBI:57392	CHEBI:30089						
Coefficient	-1	-1	1	1						
RXN_ID	36029	None	None	None	None	None				
Metabolite	CHEBI:15378	CHEBI:57945	CHEBI:57392	CHEBI:17153	CHEBI:57287	CHEBI:57540				
Coefficient	-1	-1	-1	1	1	1				
