CHEBI_ID	Metabolite_name	Starting metabolite	Path																		
CHEBI:4APETH	2-(4-aminophenyl)ethanol	D-erythrose 4-phosphate(2-)	14717	21969	21096	17739	13121	21256	21021	11672	59379	59381	PDC4APADH	ADH4AETH							
CHEBI:4APEAM	2-(4-aminophenyl)ethylamine	D-erythrose 4-phosphate(2-)	14717	21969	21096	17739	13121	21256	21021	11672	59379	59381	59384	AAADC4AEA							
CHEBI:4ACAA	4-aminocinnamic acid	D-erythrose 4-phosphate(2-)	14717	21969	21096	17739	13121	21256	21021	11672	59379	59381	59384	PAAL4AC							
CHEBI:17836	4-aminobenzoate	D-erythrose 4-phosphate(2-)	14717	21969	21096	17739	13121	21256	21021	11672	16202										
CHEBI:29780	isochorismate(2-)	D-erythrose 4-phosphate(2-)	14717	21969	21096	17739	13121	21256	21021	18985											
CHEBI:57912	L-tryptophan zwitterion	D-erythrose 4-phosphate(2-)	14717	21969	21096	17739	13121	21256	21021	21733	11770	21541	23477	10533							
CHEBI:58725	2-ammonio-2-deoxy-D-glucopyranose 6-phosphate(1-)	aldehydo-D-glucose 6-phosphate(2-)	11819	13238																	
CHEBI:57513	N-acetyl-D-glucosamine 6-phosphate(2-)	aldehydo-D-glucose 6-phosphate(2-)	11819	13238	10293																
CHEBI:506227	N-acetyl-D-glucosamine	aldehydo-D-glucose 6-phosphate(2-)	11819	13238	10293	17418															
CHEBI:58516	alpha-D-glucosamine 1-phosphate(1-)	aldehydo-D-glucose 6-phosphate(2-)	11819	13238	23427																
CHEBI:57776	N-acetyl-alpha-D-glucosamine 1-phosphate(2-)	aldehydo-D-glucose 6-phosphate(2-)	11819	13238	23427	13726															
CHEBI:57705	UDP-N-acetyl-alpha-D-glucosamine(2-)	aldehydo-D-glucose 6-phosphate(2-)	11819	13238	23427	13726	13510														
CHEBI:36242	3-(4-hydroxyphenyl)pyruvate	(1s,4s)-prephenate(2-)	13870																		
CHEBI:15621	(4-hydroxyphenyl)acetaldehyde	(1s,4s)-prephenate(2-)	13870	18698																	
CHEBI:48999	4-hydroxyphenylacetate	(1s,4s)-prephenate(2-)	13870	18698	17273																
CHEBI:1879	2-(4-hydroxyphenyl)ethanol	(1s,4s)-prephenate(2-)	13870	18698	TYRO																
CHEBI:36659	3-(4-hydroxyphenyl)lactate	(1s,4s)-prephenate(2-)	13870	23366																	
CHEBI:18005	keto-phenylpyruvate	(1s,4s)-prephenate(2-)	21651																		
CHEBI:11009	(R)-3-phenyllactate	(1s,4s)-prephenate(2-)	21651	38353																	
CHEBI:58095	L-phenylalanine zwitterion	(1s,4s)-prephenate(2-)	21651	21411																	
CHEBI:15669	trans-cinnamate	(1s,4s)-prephenate(2-)	21651	21411	21385																
CHEBI:27452	styrene	(1s,4s)-prephenate(2-)	21651	21411	21385	46923															
CHEBI:58315	L-tyrosine zwitterion	(1s,4s)-prephenate(2-)	13870	15096																	
CHEBI:17756	(S)-mandelate	(1s,4s)-prephenate(2-)	21651	SMDS																	
CHEBI:36656	phenylglyoxylate	(1s,4s)-prephenate(2-)	21651	SMDS	MDDH																
CHEBI:36241	3,4-dihydroxybenzoate	D-erythrose 4-phosphate(2-)	14717	21969	21096	24849	24045														
CHEBI:36241	3,4-dihydroxybenzoate	D-erythrose 4-phosphate(2-)	14717	21969	21096	24849	24045	CHMST													
CHEBI:36241	3,4-dihydroxybenzoate	D-erythrose 4-phosphate(2-)	14717	21969	21096	24849	24045	CHMST	29588												
